Timestamp,Machine ID,Operator ID,Weather,Engine Hours,Fuel Used (L),Load Cycles,Idling Time (min),Seatbelt Status,Safety Alert Triggered
2025-05-01 08:00:00,EXC002,OP1006,Rainy,1530.9,3.7,6,39,Fastened,No
2025-05-01 13:19:52,EXC003,OP1006,Sunny,1517.6,0.5,1,35,Fastened,No
2025-05-01 20:15:48,EXC004,OP1002,Sunny,1524.3,1.7,2,35,Fastened,No
2025-05-01 22:45:40,EXC005,OP1004,Sunny,1538.4,3.9,11,29,Fastened,No
2025-05-02 09:16:00,EXC003,OP1009,Windy,1522.3,4.8,10,53,Fastened,No
2025-05-02 10:05:57,EXC005,OP1007,Sunny,1543.4,2.7,5,21,Fastened,No
2025-05-02 11:38:24,EXC001,OP1008,Sunny,1543.8,0.6,0,32,Fastened,No
2025-05-03 00:06:42,EXC002,OP1004,Sunny,1536.7,4.6,13,33,Fastened,No
2025-05-02 20:45:29,EXC003,OP1001,Cloudy,1528.9,0.7,0,28,Unfastened,Yes
2025-05-03 03:15:20,EXC004,OP1004,Windy,1529.6,1.4,4,44,Fastened,No
2025-05-03 22:02:36,EXC005,OP1009,Windy,1549.8,5.6,12,26,Fastened,No
2025-05-03 18:59:23,EXC004,OP1009,Windy,1536.5,0.5,1,49,Fastened,No
2025-05-04 03:45:52,EXC004,OP1006,Sunny,1543.4,3.8,8,39,Fastened,No
2025-05-03 23:24:46,EXC001,OP1009,Cloudy,1548.1,1.9,4,27,Fastened,No
2025-05-04 01:22:33,EXC004,OP1006,Cloudy,1549.7,1.4,3,17,Fastened,No
2025-05-04 08:27:08,EXC001,OP1010,Cloudy,1552.4,0.8,3,43,Fastened,No
2025-05-05 05:11:08,EXC002,OP1007,Rainy,1543.6,3.7,9,24,Fastened,No
2025-05-04 15:09:38,EXC005,OP1008,Rainy,1554.1,5.8,13,33,Fastened,No
2025-05-06 03:34:05,EXC003,OP1002,Cloudy,1535.0,1.6,4,45,Unfastened,Yes
2025-05-05 18:52:06,EXC001,OP1007,Windy,1558.7,3.8,10,28,Fastened,No
2025-05-05 09:07:41,EXC002,OP1001,Sunny,1549.6,4.0,8,25,Fastened,No
2025-05-06 06:11:27,EXC002,OP1001,Cloudy,1554.7,3.9,8,11,Fastened,No
2025-05-06 14:37:15,EXC001,OP1006,Sunny,1564.9,1.3,5,24,Fastened,No
2025-05-06 13:23:31,EXC003,OP1007,Cloudy,1540.4,4.9,11,15,Fastened,No
2025-05-06 09:34:58,EXC002,OP1007,Windy,1560.7,2.9,7,15,Fastened,No
2025-05-06 21:42:03,EXC003,OP1003,Cloudy,1545.6,6.4,12,41,Fastened,No
2025-05-06 09:14:06,EXC001,OP1005,Sunny,1570.9,5.9,12,34,Fastened,No
2025-05-07 18:59:09,EXC004,OP1005,Cloudy,1554.3,6.3,13,67,Fastened,Yes
2025-05-08 19:21:50,EXC001,OP1001,Cloudy,1577.1,1.7,6,27,Fastened,No
2025-05-09 03:44:23,EXC001,OP1009,Rainy,1581.8,2.7,6,34,Fastened,No
2025-05-08 12:12:17,EXC004,OP1004,Cloudy,1558.7,3.0,9,30,Fastened,No
2025-05-08 02:42:38,EXC003,OP1007,Rainy,1552.3,2.8,8,56,Fastened,No
2025-05-08 08:43:40,EXC003,OP1004,Cloudy,1557.8,4.1,11,29,Fastened,No
2025-05-08 11:20:09,EXC002,OP1010,Sunny,1566.4,3.6,9,41,Fastened,No
2025-05-09 08:51:19,EXC002,OP1006,Sunny,1571.9,3.5,8,10,Fastened,No
2025-05-08 02:36:46,EXC005,OP1002,Sunny,1559.9,1.4,6,38,Unfastened,Yes
2025-05-10 17:03:13,EXC005,OP1003,Cloudy,1566.8,6.1,10,19,Fastened,No
