Task ID,Task Type,Weather,Operator Skill,Machine Age (yrs),Estimated Time (min),Actual Time (min)
T001,Earth Excavation,Cloudy,Expert,8,65,74
T002,Material Loading,Cloudy,Intermediate,2,37,46
T003,Material Loading,Windy,Beginner,3,36,46
T004,Earth Excavation,Rainy,Expert,10,58,71
T005,Grading,Windy,Expert,7,34,46
T006,Material Loading,Cloudy,Beginner,2,34,42
T007,Earth Excavation,Rainy,Expert,4,61,70
T008,Demolition,Sunny,Expert,2,94,95
T009,Earth Excavation,Sunny,Intermediate,2,62,66
T010,Material Loading,Windy,Beginner,6,25,37
T011,Demolition,Sunny,Beginner,9,89,103
T012,Material Loading,Windy,Intermediate,8,36,43
T013,Grading,Cloudy,Beginner,8,36,55
T014,Earth Excavation,Cloudy,Intermediate,4,60,60
T015,Trenching,Windy,Beginner,10,53,67
T016,Grading,Sunny,Expert,3,35,25
T017,Earth Excavation,Windy,Intermediate,8,64,76
T018,Grading,Sunny,Intermediate,5,34,37
T019,Grading,Rainy,Intermediate,2,34,39
T020,Material Loading,Windy,Beginner,5,31,54
T021,Material Loading,Sunny,Beginner,5,32,45
T022,Earth Excavation,Sunny,Intermediate,9,57,67
T023,Grading,Windy,Beginner,8,41,48
T024,Material Loading,Rainy,Expert,4,29,37
T025,Demolition,Rainy,Beginner,3,86,97
T026,Earth Excavation,Rainy,Expert,8,63,76
T027,Material Loading,Sunny,Intermediate,4,28,39
T028,Earth Excavation,Sunny,Beginner,9,64,77
T029,Trenching,Cloudy,Beginner,10,40,61
T030,Demolition,Cloudy,Intermediate,2,93,102
T031,Earth Excavation,Sunny,Beginner,8,69,84
T032,Material Loading,Rainy,Beginner,7,37,55
T033,Demolition,Sunny,Intermediate,2,98,106
T034,Material Loading,Windy,Beginner,5,26,30
T035,Trenching,Windy,Expert,6,48,60
T036,Earth Excavation,Rainy,Intermediate,7,59,77
T037,Demolition,Sunny,Intermediate,2,87,95
T038,Demolition,Sunny,Beginner,10,87,95
T039,Earth Excavation,Sunny,Intermediate,2,65,71
T040,Grading,Rainy,Beginner,9,32,72
T041,Demolition,Sunny,Intermediate,5,92,100
T042,Material Loading,Sunny,Expert,10,37,49
T043,Grading,Sunny,Intermediate,8,36,48
T044,Grading,Sunny,Beginner,7,36,43
T045,Material Loading,Cloudy,Intermediate,4,34,44
T046,Demolition,Cloudy,Intermediate,5,96,105
T047,Grading,Sunny,Intermediate,7,32,44
T048,Demolition,Sunny,Intermediate,7,86,87
T049,Earth Excavation,Windy,Expert,9,67,70
T050,Earth Excavation,Windy,Beginner,1,63,78
T051,Grading,Windy,Intermediate,8,37,40
T052,Grading,Windy,Intermediate,1,39,49
T053,Demolition,Sunny,Intermediate,8,89,102
T054,Material Loading,Cloudy,Intermediate,5,32,43
T055,Earth Excavation,Rainy,Intermediate,4,69,81
T056,Earth Excavation,Windy,Intermediate,2,55,61
T057,Demolition,Cloudy,Beginner,5,97,100
T058,Earth Excavation,Sunny,Expert,9,57,58
T059,Material Loading,Windy,Beginner,2,37,50
T060,Earth Excavation,Windy,Expert,1,59,63
T061,Demolition,Windy,Intermediate,10,96,107
T062,Material Loading,Windy,Expert,8,27,32
T063,Earth Excavation,Rainy,Intermediate,8,56,64
T064,Material Loading,Sunny,Beginner,8,27,39
T065,Trenching,Windy,Beginner,7,52,71
T066,Trenching,Rainy,Beginner,7,47,76
T067,Demolition,Sunny,Beginner,2,91,102
T068,Earth Excavation,Sunny,Intermediate,5,60,75
T069,Earth Excavation,Windy,Intermediate,3,66,76
T070,Trenching,Cloudy,Intermediate,8,48,69
T071,Material Loading,Rainy,Intermediate,9,32,40
T072,Trenching,Sunny,Beginner,5,51,65
T073,Material Loading,Cloudy,Intermediate,2,25,34
T074,Grading,Windy,Beginner,2,34,46
T075,Material Loading,Windy,Intermediate,4,30,42
T076,Grading,Sunny,Beginner,6,40,53
T077,Demolition,Sunny,Intermediate,10,90,107
T078,Material Loading,Sunny,Beginner,5,37,51
T079,Earth Excavation,Windy,Intermediate,5,56,64
T080,Material Loading,Windy,Expert,7,26,36
T081,Demolition,Cloudy,Expert,9,96,104
T082,Trenching,Cloudy,Intermediate,4,41,50
T083,Trenching,Cloudy,Beginner,2,40,48
